Rank,Priority,prop_screened,prop_found
1,Very high,0.0011614401858304297,0.0038314176245210726
2,Very high,0.0023228803716608595,0.007662835249042145
3,Very high,0.003484320557491289,0.011494252873563218
4,Very high,0.004645760743321719,0.011494252873563218
5,Very high,0.005807200929152149,0.01532567049808429
6,Very high,0.006968641114982578,0.019157088122605363
7,Very high,0.008130081300813009,0.022988505747126436
8,Very high,0.009291521486643438,0.02681992337164751
9,Very high,0.010452961672473868,0.03065134099616858
10,Very high,0.011614401858304297,0.034482758620689655
11,Very high,0.012775842044134728,0.038314176245210725
12,Very high,0.013937282229965157,0.0421455938697318
13,Very high,0.015098722415795587,0.04597701149425287
14,Very high,0.016260162601626018,0.04980842911877394
15,Very high,0.017421602787456445,0.04980842911877394
16,Very high,0.018583042973286876,0.04980842911877394
17,Very high,0.019744483159117306,0.05363984674329502
18,Very high,0.020905923344947737,0.05747126436781609
19,Very high,0.022067363530778164,0.06130268199233716
20,Very high,0.023228803716608595,0.06513409961685823
21,Very high,0.024390243902439025,0.06896551724137931
22,Very high,0.025551684088269456,0.07279693486590039
23,Very high,0.026713124274099883,0.07279693486590039
24,Very high,0.027874564459930314,0.07662835249042145
25,Very high,0.029036004645760744,0.08045977011494253
26,Very high,0.030197444831591175,0.0842911877394636
27,Very high,0.0313588850174216,0.08812260536398467
28,Very high,0.032520325203252036,0.09195402298850575
29,Very high,0.03368176538908246,0.09195402298850575
30,Very high,0.03484320557491289,0.09578544061302682
31,Very high,0.036004645760743324,0.09578544061302682
32,Very high,0.03716608594657375,0.09961685823754789
33,Very high,0.03832752613240418,0.10344827586206896
34,Very high,0.03948896631823461,0.10727969348659004
35,Very high,0.04065040650406504,0.1111111111111111
36,Very high,0.041811846689895474,0.11494252873563218
37,Very high,0.0429732868757259,0.11877394636015326
38,Very high,0.04413472706155633,0.11877394636015326
39,Very high,0.04529616724738676,0.12260536398467432
40,Very high,0.04645760743321719,0.12643678160919541
41,Very high,0.047619047619047616,0.13026819923371646
42,Very high,0.04878048780487805,0.13026819923371646
43,Very high,0.04994192799070848,0.13409961685823754
44,Very high,0.05110336817653891,0.13793103448275862
45,Very high,0.05226480836236934,0.1417624521072797
46,Very high,0.053426248548199766,0.14559386973180077
47,Very high,0.0545876887340302,0.14942528735632185
48,Very high,0.05574912891986063,0.14942528735632185
49,Very high,0.056910569105691054,0.14942528735632185
50,Very high,0.05807200929152149,0.1532567049808429
51,Very high,0.059233449477351915,0.15708812260536398
52,Very high,0.06039488966318235,0.16091954022988506
53,Very high,0.06155632984901278,0.16475095785440613
54,Very high,0.0627177700348432,0.1685823754789272
55,Very high,0.06387921022067364,0.1685823754789272
56,Very high,0.06504065040650407,0.1724137931034483
57,Very high,0.06620209059233449,0.17624521072796934
58,Very high,0.06736353077816493,0.18007662835249041
59,Very high,0.06852497096399536,0.1839080459770115
60,Very high,0.06968641114982578,0.18773946360153257
61,Very high,0.07084785133565621,0.19157088122605365
