Feature,VariableType,Gene,mean_importance,Rank,SetName
GenomicDensity_Housekeeping_A.Bias_Coding,GenomicDensity,Housekeeping,0.04907051320694288,76,Similarity to housekeeping genes
GenomicDensity_Housekeeping_ACT.Bias_Coding,GenomicDensity,Housekeeping,0.04698369390330405,85,Similarity to housekeeping genes
GenomicDensity_Housekeeping_AGC.Bias_Coding,GenomicDensity,Housekeeping,0.07089044220113837,39,Similarity to housekeeping genes
GenomicDensity_Housekeeping_ATT.Bias_Coding,GenomicDensity,Housekeeping,0.03677032524894885,104,Similarity to housekeeping genes
GenomicDensity_Housekeeping_brApA_Coding,GenomicDensity,Housekeeping,0.0590954191694448,54,Similarity to housekeeping genes
GenomicDensity_Housekeeping_brApG_Coding,GenomicDensity,Housekeeping,0.06757944494727403,44,Similarity to housekeeping genes
GenomicDensity_Housekeeping_brCpC_Coding,GenomicDensity,Housekeeping,0.06739624559613004,45,Similarity to housekeeping genes
GenomicDensity_Housekeeping_brGpA_Coding,GenomicDensity,Housekeeping,0.09305650418005981,12,Similarity to housekeeping genes
GenomicDensity_Housekeeping_brUpC_Coding,GenomicDensity,Housekeeping,0.06137902130320312,48,Similarity to housekeeping genes
GenomicDensity_Housekeeping_CCC.Bias_Coding,GenomicDensity,Housekeeping,0.06225500972275374,47,Similarity to housekeeping genes
GenomicDensity_Housekeeping_CGC.Bias_Coding,GenomicDensity,Housekeeping,0.0689833475298393,43,Similarity to housekeeping genes
GenomicDensity_Housekeeping_CpC_Coding,GenomicDensity,Housekeeping,0.0836538261845034,20,Similarity to housekeeping genes
GenomicDensity_Housekeeping_CTG.Bias_Coding,GenomicDensity,Housekeeping,0.13819443258504485,1,Similarity to housekeeping genes
GenomicDensity_Housekeeping_CTT.Bias_Coding,GenomicDensity,Housekeeping,0.11233288584417572,4,Similarity to housekeeping genes
GenomicDensity_Housekeeping_D.Bias_Coding,GenomicDensity,Housekeeping,0.036886800316211985,103,Similarity to housekeeping genes
GenomicDensity_Housekeeping_G.Bias_Coding,GenomicDensity,Housekeeping,0.07159891856184428,36,Similarity to housekeeping genes
