Name,Family,GenomeType,host_class,host_order,calibrated_score_mean,calibrated_score_lower,calibrated_score_upper,bagged_prediction,zoonotic_potential
Qalyub orthonairovirus,Nairoviridae,ssRNA(-),Arachnida,Ixodida,0.16342774494258905,0.08033391322158934,0.2833512345604079,FALSE,Low
Bombali ebolavirus,Filoviridae,ssRNA(-),Mammalia,Chiroptera,0.31967804119110005,0.17497893657974067,0.5912812022568465,TRUE,High
Equine picobirnavirus,Picobirnaviridae,dsRNA,Mammalia,Perissodactyla,0.12615151949376247,0.05330061518237496,0.20479763455119687,FALSE,Low
Beihai picobirnavirus,Picobirnaviridae,dsRNA,NA,NA,0.11020968174818788,0.05423835728520576,0.19569818897014662,FALSE,Low
Drosophina B birnavirus,Birnaviridae,dsRNA,Insecta,Diptera,0.3985899163999552,0.18723533209766446,0.6524276408560404,TRUE,High
Mosquito X virus,Birnaviridae,dsRNA,Insecta,Diptera,0.20767278712883847,0.0916776231526294,0.4055265969317135,FALSE,Medium
Asikkala orthohantavirus,Hantaviridae,ssRNA(-),Mammalia,Eulipotyphla,0.2916740831774388,0.1394081410863646,0.5486792610512102,FALSE,Medium
Muarterivirus afrigant,Arteriviridae,ssRNA(+),Mammalia,Eulipotyphla,0.17370468615719323,0.0893362447279464,0.2840449022107099,FALSE,Low
Kigluaik phantom orthophasmavirus,Phasmaviridae,ssRNA(-),Insecta,Diptera,0.28886501504997275,0.15720354870676137,0.5238157871685638,FALSE,Medium
Wuhan mosquito orthophasmavirus 1,Phasmaviridae,ssRNA(-),Insecta,Diptera,0.16745501826935444,0.06493842188149751,0.29132535257082115,FALSE,Low
Wuhan mosquito orthophasmavirus 2,Phasmaviridae,ssRNA(-),Insecta,Diptera,0.16642707073309793,0.08909056248088577,0.26735363406639745,FALSE,Low
Betaarterivirus sheoin,Arteriviridae,ssRNA(+),Mammalia,Rodentia,0.313060569381556,0.17421703080665452,0.5382302335844085,TRUE,High
Betaarterivirus timiclar,Arteriviridae,ssRNA(+),Mammalia,Rodentia,0.10361155085635429,0.04261313031188559,0.18257756167270972,FALSE,Low
Prospect Hill orthohantavirus,Hantaviridae,ssRNA(-),Mammalia,Rodentia,0.3342435984405777,0.1689546706467765,0.5460975630283598,TRUE,High
Tigray orthohantavirus,Hantaviridae,ssRNA(-),Mammalia,Rodentia,0.28837232300178456,0.147562718637665,0.4886385419193671,FALSE,Medium
Bavaria virus,Caliciviridae,ssRNA(+),Aves,Galliformes,0.3370956150596826,0.200603513269136,0.5178887624004487,TRUE,High
Nacovirus A,Caliciviridae,ssRNA(+),Aves,Galliformes,0.13269360926940688,0.05432504718435112,0.24301058796846375,FALSE,Low
Saint Valerien virus,Caliciviridae,ssRNA(+),Mammalia,Artiodactyla,0.24653012311054334,0.12960781748785127,0.4049707363286973,FALSE,Medium
Recovirus A,Caliciviridae,ssRNA(+),Mammalia,Primates,0.2778343944322361,0.15494746631477746,0.4367663084937662,FALSE,Medium
Usutu virus,Flaviviridae,ssRNA(+),Aves,Passeriformes,0.6677079340107078,0.4269943270685601,0.8826164016376503,TRUE,Very high
Neoavian orthoreovirus,Reoviridae,dsRNA,Aves,NA,0.15312861042999354,0.055692633357094685,0.2565807330214047,FALSE,Low
Pestivirus F,Flaviviridae,ssRNA(+),Mammalia,Artiodactyla,0.23465870143600281,0.10105000348724742,0.415219529729979,FALSE,Medium
Pestivirus G,Flaviviridae,ssRNA(+),Mammalia,Artiodactyla,0.26380929242895235,0.12071512309718715,0.42669198964502036,FALSE,Medium
Pestivirus K,Flaviviridae,ssRNA(+),Mammalia,Artiodactyla,0.3542128426371542,0.18595136149292463,0.6327727806734276,TRUE,High
Mahlapitsi orthoreovirus,Reoviridae,dsRNA,Insecta,Diptera,0.1864371215792041,0.09714756866270505,0.34990312029347487,FALSE,Medium
Mariental mammarenavirus,Arenaviridae,ssRNA(+/-),Mammalia,Rodentia,0.2306510919404891,0.1340483791944193,0.3598487174896695,FALSE,Medium
Pestivirus J,Flaviviridae,ssRNA(+),Mammalia,Rodentia,0.34246999822573393,0.15681166537381802,0.5626978402313842,TRUE,High
Planalto mammarenavirus,Arenaviridae,ssRNA(+/-),Mammalia,Rodentia,0.3605562291203352,0.20362860024722784,0.5498050154843976,TRUE,High
Ryukyu mammarenavirus,Arenaviridae,ssRNA(+/-),Mammalia,Rodentia,0.33618584817269065,0.1984033158156614,0.5565177690044419,TRUE,High
Souris mammarenavirus,Arenaviridae,ssRNA(+/-),Mammalia,Rodentia,0.2068237422428425,0.10185127596326293,0.3355285958070204,FALSE,Medium
Xapuri mammarenavirus,Arenaviridae,ssRNA(+/-),Mammalia,Rodentia,0.28225171379866365,0.14843631756135306,0.4799314335282838,FALSE,Medium
Mammalian orthoreovirus,Reoviridae,dsRNA,Mammalia,Primates,0.14429332110075568,0.07213879517347728,0.22892695295803964,FALSE,Low
Broome orthoreovirus,Reoviridae,dsRNA,Mammalia,Chiroptera,0.16426986110075706,0.06827395834438889,0.27855199042614787,FALSE,Low
Rotavirus J,Reoviridae,dsRNA,Mammalia,Chiroptera,0.31656515150095066,0.16425021684811342,0.5607962443502844,TRUE,High
Avian myelocytomatosis virus 29,Retroviridae,ssRNA-RT,NA,NA,0.3480859575883523,0.1685235673645837,0.5633222844484487,TRUE,High
Avian sarcoma virus CT10,Retroviridae,ssRNA-RT,NA,NA,0.36237743589871774,0.17274505735879536,0.6181996817942856,TRUE,High
Fujinami sarcoma virus,Retroviridae,ssRNA-RT,NA,NA,0.3612623316251221,0.19538279960925187,0.580169353310772,TRUE,High
Rous sarcoma virus,Retroviridae,ssRNA-RT,NA,NA,0.1796835934371067,0.07724081533584783,0.2955366442357331,FALSE,Medium
UR2 sarcoma virus,Retroviridae,ssRNA-RT,NA,NA,0.2649277389816064,0.1476856535790165,0.5060800979247817,FALSE,Medium
Spider monkey simian foamy virus,Retroviridae,ssRNA-RT,Mammalia,Primates,0.512828895095382,0.2524069247079782,0.8431341014197011,TRUE,High
Heron hepatitis B virus,Hepadnaviridae,dsDNA-RT,Aves,Pelecaniformes,0.5723435047984295,0.34416706818862475,0.8838043256462185,TRUE,Very high
Parrot hepatitis B virus,Hepadnaviridae,dsDNA-RT,Aves,Psittaciformes,0.33859153099363787,0.18424382320248,0.5521465244084041,TRUE,High
Chinese shrew hepatitis B virus,Hepadnaviridae,dsDNA-RT,Mammalia,Eulipotyphla,0.23757087869720353,0.11330355293513739,0.39609644135828703,FALSE,Medium
Duck hepatitis B virus,Hepadnaviridae,dsDNA-RT,Aves,Anseriformes,0.5698027531582183,0.3330248386769922,0.824933040331568,TRUE,Very high
Domestic cat hepatitis B virus,Hepadnaviridae,dsDNA-RT,Mammalia,Carnivora,0.16364179342859408,0.04648231444427618,0.29660668989200545,FALSE,Medium
