LatestSppName,InfectsHumans,Family,GenomeType,BroadGenomeType,Class
Achimota pararubulavirus 1,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Achimota pararubulavirus 2,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Adelaide River ephemerovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Adeno-associated dependoparvovirus A,TRUE,Parvoviridae,ssDNA(+/-),ssDNA,Human virus
Adeno-associated dependoparvovirus B,TRUE,Parvoviridae,ssDNA(+/-),ssDNA,Human virus
Grivet simian foamy virus,TRUE,Retroviridae,ssRNA-RT,ssRNA-RT,Zoonotic
African horse sickness virus,FALSE,Reoviridae,dsRNA,dsRNA,No human infections
African swine fever virus,FALSE,Asfarviridae,dsDNA,dsDNA,No human infections
Aichivirus A,TRUE,Picornaviridae,ssRNA(+),ssRNA,Human virus
Akabane orthobunyavirus,FALSE,Peribunyaviridae,ssRNA(-),ssRNA,No human infections
Alagoas vesiculovirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Alcelaphine gammaherpesvirus 1,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Alcelaphine gammaherpesvirus 2,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Allpahuayo mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Almpiwar sripuvirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Alphacoronavirus 1,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Alphapapillomavirus 1,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Alphapapillomavirus 10,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Alphapapillomavirus 11,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Alphapapillomavirus 12,FALSE,Papillomaviridae,dsDNA,dsDNA,No human infections
Alphapapillomavirus 13,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Alphapapillomavirus 14,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Alphapapillomavirus 2,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Alphapapillomavirus 3,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Alphapapillomavirus 4,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Alphapapillomavirus 5,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Alphapapillomavirus 6,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Alphapapillomavirus 7,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Alphapapillomavirus 8,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Alphapapillomavirus 9,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Serra do Navio mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
American bat vesiculovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Andes orthohantavirus,TRUE,Hantaviridae,ssRNA(-),ssRNA,Zoonotic
Anguillid perhabdovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Anopheles A orthobunyavirus,TRUE,Peribunyaviridae,ssRNA(-),ssRNA,Zoonotic
Apoi virus,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Aquamavirus A,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Aravan lyssavirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Arboretum almendravirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Aroa virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Ateline alphaherpesvirus 1,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Aura virus,FALSE,Togaviridae,ssRNA(+),ssRNA,No human infections
Australian bat lyssavirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Avastrovirus 1,FALSE,Astroviridae,ssRNA(+),ssRNA,No human infections
Avastrovirus 2,FALSE,Astroviridae,ssRNA(+),ssRNA,No human infections
Avastrovirus 3,FALSE,Astroviridae,ssRNA(+),ssRNA,No human infections
Avian orthoavulavirus 1,TRUE,Paramyxoviridae,ssRNA(-),ssRNA,Zoonotic
Avian metaavulavirus 10,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Avian metaavulavirus 11,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Avian orthoavulavirus 12,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Avian paraavulavirus 3,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Avian paraavulavirus 4,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Avian metaavulavirus 5,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Avian metaavulavirus 6,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Avian metaavulavirus 7,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Avian metaavulavirus 8,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Avian orthoavulavirus 9,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Avian coronavirus,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Avian metapneumovirus,FALSE,Pneumoviridae,ssRNA(-),ssRNA,No human infections
Avihepatovirus A,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Avisivirus B,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Avisivirus C,FALSE,Picornaviridae,ssRNA(+),ssRNA,No human infections
Pestivirus I,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Baboon orthoreovirus,FALSE,Reoviridae,dsRNA,dsRNA,No human infections
Bagaza virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Banna virus,TRUE,Reoviridae,dsRNA,dsRNA,Zoonotic
Banzi virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Barmah Forest virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Barur ledantevirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Bat coronavirus CDPHE15,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Bat coronavirus HKU10,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Bayou orthohantavirus,TRUE,Hantaviridae,ssRNA(-),ssRNA,Zoonotic
Bear Canyon mammarenavirus,FALSE,Arenaviridae,ssRNA(+/-),ssRNA,No human infections
Bebaru virus,TRUE,Togaviridae,ssRNA(+),ssRNA,Zoonotic
Beluga whale coronavirus SW1,FALSE,Coronaviridae,ssRNA(+),ssRNA,No human infections
Berrimah ephemerovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Betacoronavirus 1,TRUE,Coronaviridae,ssRNA(+),ssRNA,Human virus
Betapapillomavirus 1,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Betapapillomavirus 2,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Betapapillomavirus 3,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Betapapillomavirus 4,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Betapapillomavirus 5,TRUE,Papillomaviridae,dsDNA,dsDNA,Human virus
Bimiti orthobunyavirus,FALSE,Peribunyaviridae,ssRNA(-),ssRNA,No human infections
Bluetongue virus,FALSE,Reoviridae,dsRNA,dsRNA,No human infections
Bokeloh bat lyssavirus,TRUE,Rhabdoviridae,ssRNA(-),ssRNA,Zoonotic
Pestivirus D,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Bos taurus polyomavirus 1,FALSE,Polyomaviridae,dsDNA,dsDNA,No human infections
Bouboui virus,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Bovine alphaherpesvirus 1,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Bovine alphaherpesvirus 5,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Bovine atadenovirus D,FALSE,Adenoviridae,dsDNA,dsDNA,No human infections
Bovine fever ephemerovirus,FALSE,Rhabdoviridae,ssRNA(-),ssRNA,No human infections
Bovine foamy virus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Bovine gammaherpesvirus 4,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
Bovine immunodeficiency virus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Bovine leukemia virus,FALSE,Retroviridae,ssRNA-RT,ssRNA-RT,No human infections
Bovine mastadenovirus A,FALSE,Adenoviridae,dsDNA,dsDNA,No human infections
Bovine mastadenovirus B,FALSE,Adenoviridae,dsDNA,dsDNA,No human infections
Bovine mastadenovirus C,FALSE,Adenoviridae,dsDNA,dsDNA,No human infections
Bovine orthopneumovirus,FALSE,Pneumoviridae,ssRNA(-),ssRNA,No human infections
Bovine papular stomatitis virus,TRUE,Poxviridae,dsDNA,dsDNA,Zoonotic
Bovine respirovirus 3,FALSE,Paramyxoviridae,ssRNA(-),ssRNA,No human infections
Bovine torovirus,FALSE,Tobaniviridae,ssRNA(+),ssRNA,No human infections
Pestivirus A,TRUE,Flaviviridae,ssRNA(+),ssRNA,Zoonotic
Pestivirus B,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Pestivirus H,FALSE,Flaviviridae,ssRNA(+),ssRNA,No human infections
Bubaline alphaherpesvirus 1,FALSE,Herpesviridae,dsDNA,dsDNA,No human infections
