UniversalName,N,InfectsHumans,BagScore_Lower,BagScore_Upper,BagScore
Adeno-associated dependoparvovirus A,100,True,0.2695170097847855,0.371024112305274,0.29496049888371173
Adeno-associated dependoparvovirus B,100,True,0.26947419177369275,0.36525903513046165,0.3021214541029993
Aedes pseudoscutellaris reovirus,100,False,0.2756184219625487,0.30754453708224594,0.2883074911745759
African green monkey simian foamy virus,100,True,0.2613829694893976,0.38218791114578,0.30383140286438115
African horse sickness virus,100,False,0.26172884943378366,0.37779148660710005,0.2980388885044761
African pouched rat arterivirus,100,False,0.26964848202639,0.28957400223508134,0.28040782130318387
African swine fever virus,100,False,0.2721836203835202,0.3591984116925049,0.2975334295903755
Aichivirus A,100,True,0.26598982923379433,0.3607566580407418,0.29742766432653556
Aichivirus B,100,False,0.2642190074535078,0.36629770207739876,0.29844452311372427
Aichivirus C,100,False,0.2653416570184328,0.34458757846126636,0.29173993590989167
Aichivirus D,100,False,0.26112527495273785,0.3449996805557234,0.2913992066968121
Aichivirus E,100,False,0.26452182472476327,0.3812456535050322,0.2983382143693281
Aichivirus F,100,False,0.26495936737917053,0.38137486111090524,0.30477063528673204
Alcelaphine gammaherpesvirus 1,100,False,0.265945212763509,0.3850698438906125,0.309106947877086
Alethinophid 2 reptarenavirus,100,False,0.2569967665547479,0.39682027314504076,0.3040312918739549
Alethinophid 3 reptarenavirus,100,False,0.25712248414420585,0.3876756945709608,0.3006401183855882
Alfalfa dwarf cytorhabdovirus,100,False,0.2712958514018827,0.2893488830214342,0.2802333206432331
Allpahuayo mammarenavirus,100,False,0.25626265231442813,0.3646935111152648,0.29472423693281824
Almpiwar sripuvirus,100,False,0.24637311436151255,0.3047162233251136,0.2677354480497455
Alphapapillomavirus 1,100,True,0.2666325128931981,0.47415105541875163,0.33329854929159136
Alphapapillomavirus 11,100,True,0.2624980933398766,0.4633021112932684,0.31842092530136307
Alphapapillomavirus 12,100,False,0.2759165991969176,0.45339141956278695,0.3420125533503312
Alphapapillomavirus 13,100,True,0.27307712124853956,0.46702219722437766,0.34188883717749136
Alphapapillomavirus 14,100,True,0.2730335948477968,0.48079528016480844,0.3396272982215049
Alphapapillomavirus 2,100,True,0.27695120902460413,0.48906968858304944,0.36748304449485736
Alphapapillomavirus 3,100,True,0.2796572477231686,0.48722277928353785,0.35387500079577683
Alphapapillomavirus 4,100,True,0.278619019976751,0.472095812715911,0.3647697473698941
Alphapapillomavirus 5,100,True,0.27450990293472555,0.46241603240163104,0.3474231845927633
Alphapapillomavirus 6,100,True,0.2718516418007173,0.4641698449886522,0.3289865208849867
Alphapapillomavirus 7,100,True,0.27493590081227925,0.4624895397023706,0.33381852709705745
Alphapapillomavirus 8,100,True,0.2717950771384523,0.47781025583223297,0.33983269798627536
Alphapapillomavirus 9,100,True,0.27168519894935433,0.4572799797532821,0.33621054521802407
Amaparí mammarenavirus,100,False,0.2522961246824802,0.3554951132125985,0.2849257923615028
American bat vesiculovirus,100,False,0.2426423915544998,0.31204730348385346,0.27261609721345714
Ampivirus A,100,False,0.2265565351334055,0.30763443329852447,0.2863842101640376
Andes orthohantavirus,100,True,0.2562514454902189,0.3307693682275171,0.2865525185357626
Anguillid perhabdovirus,100,False,0.23674898843957323,0.308346684679621,0.26668670177918596
Aquamavirus A,100,False,0.2642655715965807,0.3698210656591835,0.30387339830331406
Aquareovirus A,100,False,0.26690850976359315,0.34199309563676683,0.290869765166097
Aquareovirus C,100,False,0.2665740504629366,0.35588826938336504,0.29396309383086333
Aquareovirus E,100,False,0.2632058103766446,0.37856934695525485,0.2993154047394169
Aravan lyssavirus,100,True,0.25226080680340673,0.3739066832706551,0.3005597034432532
Arboretum almendravirus,100,False,0.26562452303151907,0.34973781885676547,0.29723982880601074
Ateline alphaherpesvirus 1,100,False,0.25749506448530507,0.3801282544363017,0.29914631153068194
Aura virus,100,False,0.26872124659154606,0.46835532659354695,0.34301305261293824
Avastrovirus 1,100,False,0.2605276286794344,0.38484911691283274,0.3028102848909568
Avastrovirus 3,100,False,0.25793881133570795,0.36307765699336625,0.2943654752754026
Avian avulavirus 1,100,True,0.25965183633946864,0.34887297653404187,0.294733104936485
Avian avulavirus 11,100,False,0.2505541503012887,0.35799897581326695,0.2905859549398696
Avian avulavirus 2,100,False,0.25778753322884795,0.35507866110519987,0.29221615847702725
Avian avulavirus 3,100,False,0.25819177007898364,0.37994335388853595,0.293640763335002
Avian avulavirus 7,100,False,0.25230489224975317,0.34568699535627934,0.29016307273115627
Avian avulavirus 8,100,False,0.25310474253579646,0.34139322809378536,0.2872518492364621
Avian avulavirus 9,100,False,0.2617332407809627,0.3572442617409215,0.29914386333392334
Avian coronavirus,100,False,0.2561319050955033,0.3596266932020621,0.29071088228669373
