Family,BroadGenomeType,AUC_median,AUC_lower,AUC_upper,AUC_direct,N,Npositive,Nnegative,GenomeType
Adenoviridae,dsDNA,0.75,0.44843075737030813,1,0.75,20,6,14,dsDNA
Arenaviridae,ssRNA,0.49621212121212116,0.2783372530746989,0.7140869893495434,0.4962121212121212,35,11,24,ssRNA(+/-)
Arteriviridae,ssRNA,Inf,NA,NA,NaN,17,NA,17,ssRNA(+)
Asfarviridae,dsDNA,Inf,NA,NA,NaN,1,NA,1,dsDNA
Astroviridae,ssRNA,0.78125,0.45770307744902894,1,0.78125,12,4,8,ssRNA(+)
Birnaviridae,dsRNA,Inf,NA,NA,NaN,5,NA,5,dsRNA
Bornaviridae,ssRNA,0.7,0.2617387297117093,1,0.7,7,2,5,ssRNA(-)
Caliciviridae,ssRNA,0.9166666666666666,0.6856826959417204,1,0.9166666666666666,7,3,4,ssRNA(+)
Circoviridae,ssDNA,Inf,NA,NA,NaN,2,NA,2,ssDNA(+/-)
Coronaviridae,ssRNA,0.7608695652173914,0.5639602612235728,0.9577788692112099,0.7608695652173914,29,6,23,ssRNA(+)
Filoviridae,ssRNA,Inf,NA,NA,0.6666666666666666,7,NA,1,ssRNA(-)
Flaviviridae,ssRNA,0.723404255319149,0.6061532983325069,0.8406552123057911,0.723404255319149,78,31,47,ssRNA(+)
Hantaviridae,ssRNA,0.575,0.32968950554516674,0.8203104944548332,0.575,30,10,20,ssRNA(-)
Hepadnaviridae,dsDNA-RT,Inf,NA,NA,1,3,NA,2,dsDNA-RT
Hepeviridae,ssRNA,Inf,NA,NA,0,5,NA,4,ssRNA(+)
Herpesviridae,dsDNA,0.6776315789473685,0.42054562904648835,0.9347175288482485,0.6776315789473685,46,8,38,dsDNA
Matonaviridae,ssRNA,Inf,NA,NA,NaN,1,NA,0,ssRNA(+)
Nairoviridae,ssRNA,0.53125,0.18220561768244187,0.8802943823175582,0.53125,12,4,8,ssRNA(-)
Orthomyxoviridae,ssRNA,0.9333333333333332,0.7485461567533762,1,0.9333333333333333,8,5,3,ssRNA(-)
Papillomaviridae,dsDNA,0.9692307692307692,0.916685539455724,1,0.9692307692307692,41,26,15,dsDNA
Paramyxoviridae,ssRNA,0.5235042735042735,0.34407211753753875,0.7029364294710083,0.5235042735042735,49,13,36,ssRNA(-)
Parvoviridae,ssDNA,0.5416666666666666,0.17126828939979338,0.9120650439335398,0.5416666666666666,11,3,8,ssDNA(+/-)
Peribunyaviridae,ssRNA,0.7365728900255755,0.580611657158435,0.8925341228927159,0.7365728900255755,40,17,23,ssRNA(-)
Phasmaviridae,ssRNA,Inf,NA,NA,NaN,2,NA,2,ssRNA(-)
Phenuiviridae,ssRNA,0.8125,0.6149783147406982,1,0.8125,22,6,16,ssRNA(-)
Picobirnaviridae,dsRNA,Inf,NA,NA,0,2,NA,1,dsRNA
Picornaviridae,ssRNA,0.7225,0.5698759568448066,0.8751240431551934,0.7225,80,20,60,ssRNA(+)
Pneumoviridae,ssRNA,0.3333333333333333,0,0.9866546615133513,0.3333333333333333,5,2,3,ssRNA(-)
Polyomaviridae,dsDNA,0.6666666666666666,0.16768426008099696,1,0.6666666666666666,7,3,4,dsDNA
Poxviridae,dsDNA,0.6160714285714286,0.3539162095568634,0.8782266475859938,0.6160714285714286,22,8,14,dsDNA
Reoviridae,dsRNA,0.47549019607843135,0.2839471925152899,0.6670331996415728,0.47549019607843135,63,12,51,dsRNA
Retroviridae,ssRNA-RT,0.8755555555555555,0.7602930711989937,0.9908180399121174,0.8755555555555555,34,9,25,ssRNA-RT
Rhabdoviridae,ssRNA,0.9223684210526316,0.8645008054101393,0.9802360366951239,0.9223684210526316,119,24,95,ssRNA(-)
Sunviridae,ssRNA,Inf,NA,NA,NaN,1,NA,1,ssRNA(-)
Tobaniviridae,ssRNA,Inf,NA,NA,NaN,8,NA,8,ssRNA(+)
Togaviridae,ssRNA,0.5462962962962963,0.32277946263277046,0.7698131299598221,0.5462962962962963,30,18,12,ssRNA(+)
