Class,Dendrogram,k,Bk,Null_Median,Null_Lower,Null_Upper,Type
No human infections,SHAP-based,11,0.4070359223610011,0.36927203400861935,0,0.3948738538321025,Significant
No human infections,SHAP-based,12,0.35963459135256726,0.30635472029003713,0,0.3299825908834508,Significant
No human infections,SHAP-based,13,0.35283831782815406,0.28949776431437607,0,0.3194778241371068,Significant
No human infections,SHAP-based,14,0.35172569344816307,0.28831968931555246,0,0.31382455874716647,Significant
No human infections,SHAP-based,15,0.35066018587226444,0.28041909407398924,0,0.3147935154711343,Significant
No human infections,SHAP-based,16,0.3083779027935318,0.2676603059167323,0,0.30391374855482317,Significant
No human infections,SHAP-based,17,0.3206833863510182,0.22745494128224583,0,0.25278095153559704,Significant
No human infections,SHAP-based,18,0.3204955826868807,0.22742403697867955,0,0.2531349958761274,Significant
No human infections,SHAP-based,19,0.33885230595252086,0.19962614903002132,0,0.2268013796570856,Significant
No human infections,SHAP-based,20,0.3654308475063298,0.17089954463303048,0,0.1948124288693525,Significant
No human infections,SHAP-based,21,0.43012519770210617,0.14360668959359493,0,0.16543606584111586,Significant
No human infections,SHAP-based,22,0.5295220840107742,0.11070410498186754,0,0.12471919207992845,Significant
No human infections,SHAP-based,23,0.5330803381871201,0.10975034748262093,0,0.1259631820079495,Significant
No human infections,SHAP-based,24,0.5408983554392345,0.10712243946468313,0,0.12386450502227943,Significant
No human infections,SHAP-based,25,0.41996501117070073,0.08780395997795627,0,0.10434445143572661,Significant
No human infections,SHAP-based,26,0.40104041617774944,0.08476000968140301,0,0.10075997384309131,Significant
No human infections,SHAP-based,27,0.4328407445113782,0.07797681888048262,0,0.08929368403964644,Significant
No human infections,SHAP-based,28,0.44183642673556156,0.07615356522161666,0,0.08847420259942745,Significant
No human infections,SHAP-based,29,0.44471050375104565,0.07560005094330513,0,0.08730272193856885,Significant
No human infections,SHAP-based,30,0.4456667372406182,0.07556797447008001,0,0.08851593622468386,Significant
No human infections,SHAP-based,31,0.44124225741006523,0.07139226740956449,0,0.08346293236781416,Significant
No human infections,SHAP-based,32,0.4438855411497838,0.06878691907232007,0,0.07904578950206101,Significant
No human infections,SHAP-based,33,0.4335188541924316,0.06687435893528684,0,0.078385125407375,Significant
No human infections,SHAP-based,34,0.4407261348534834,0.06466849822630624,0,0.07479984469428827,Significant
No human infections,SHAP-based,35,0.4560138990443339,0.06232130599981135,0,0.07451092568404148,Significant
No human infections,SHAP-based,36,0.45131984157987165,0.06217708031266641,0,0.0742492871216802,Significant
No human infections,SHAP-based,37,0.4512709097662783,0.06200396186454111,0,0.07430139559310384,Significant
No human infections,SHAP-based,38,0.451524239771415,0.062038769036104134,0,0.07527494133940388,Significant
No human infections,SHAP-based,39,0.46317268081649476,0.06049377212728336,0,0.07199192339484531,Significant
No human infections,SHAP-based,40,0.47154051303427813,0.05929383090001948,0,0.07135026862849395,Significant
No human infections,SHAP-based,41,0.4722597768872665,0.05920840834807573,0,0.0704285402487079,Significant
No human infections,SHAP-based,42,0.4722946751975613,0.05898990527855073,0,0.07101719365285786,Significant
No human infections,SHAP-based,43,0.47237539912694476,0.0591643144035736,0,0.06918896423822216,Significant
No human infections,SHAP-based,44,0.4681040069268609,0.05839412032773112,0,0.06994846900198128,Significant
No human infections,SHAP-based,45,0.47079333769146686,0.05790249968756791,0,0.07202549090595776,Significant
No human infections,SHAP-based,46,0.4498992754073797,0.056421231858127474,0,0.06924679863470458,Significant
No human infections,SHAP-based,47,0.4458626154778281,0.05478520462230397,0,0.06655152679992891,Significant
No human infections,SHAP-based,48,0.43778644914940806,0.05308879879171436,0,0.06798109331633587,Significant
No human infections,SHAP-based,49,0.43165223131563696,0.05242397324499411,0,0.06330143986210918,Significant
No human infections,SHAP-based,50,0.41302388367343357,0.050486807618137425,0,0.061502825824062676,Significant
No human infections,SHAP-based,51,0.3899646790033809,0.04783566729108139,0,0.058001595032735886,Significant
