Cluster,ClusterLabel,Exemplar,Member,VariableType,Gene,Location,Measure,MeasureType,FeatureSet,MeanAbsSHAP,X,Y,Exemplar_X,Exemplar_Y
28,4,VirusDirect_CCC.Bias_Coding,VirusDirect_ATC.Bias_Coding,VirusDirect,NA,Coding,ATC.Bias,Codon bias,Viral genomic features,0.01881283841329146,-0.7358253034597956,-0.14414669115144174,-0.7386986733944589,0.03461141848358595
31,11,GenomicDensity_Remaining_Y.Bias_Coding,GenomicDensity_Remaining_Y.Bias_Coding,GenomicDensity,Remaining,Coding,Y.Bias,Amino acid bias,Similarity to remaining genes,0.01997443634438617,-0.5774018264358369,-0.16650464741773868,-0.5774018264358369,-0.16650464741773868
6,19,GenomicDensity_ISG_E.Bias_Coding,VirusDirect_E.Bias_Coding,VirusDirect,NA,Coding,E.Bias,Amino acid bias,Viral genomic features,0.021634808899345045,0.21136958910163275,-0.43110076823964616,0.2032216174170656,-0.40734914257558824
29,10,VirusDirect_GCG.Bias_Coding,VirusDirect_TCG.Bias_Coding,VirusDirect,NA,Coding,TCG.Bias,Codon bias,Viral genomic features,0.025824525400233018,-0.532881247525245,0.047878308008078345,-0.5990956279148865,0.10006208161363725
11,3,VirusDirect_TTA.Bias_Coding,VirusDirect_UpA_Coding,VirusDirect,NA,Coding,UpA,Dinucleotide bias,Viral genomic features,0.02691964057947473,0.42987747482082034,0.40329515932412885,0.9250005656151968,0.023193330347532206
3,31,GenomicDensity_Remaining_NonBrCpC_Coding,GenomicDensity_Housekeeping_NonBrCpC_Coding,GenomicDensity,Housekeeping,Coding,NonBrCpC,Non-bridge dinucleotide bias,Similarity to housekeeping genes,0.027195547834689617,-0.11279474791956147,0.06557891325410548,-0.11255115144388093,0.05444298533212927
28,4,VirusDirect_CCC.Bias_Coding,VirusDirect_P.Bias_Coding,VirusDirect,NA,Coding,P.Bias,Amino acid bias,Viral genomic features,0.02748769298702765,-0.5830673866682425,0.33807970029756207,-0.7386986733944589,0.03461141848358595
19,28,GenomicDensity_Remaining_H.Bias_Coding,VirusDirect_H.Bias_Coding,VirusDirect,NA,Coding,H.Bias,Amino acid bias,Viral genomic features,0.028368222838308033,-0.11675355204318562,0.03758215649874518,0.03920264397147911,-0.10949044328893554
11,3,VirusDirect_TTA.Bias_Coding,VirusDirect_N.Bias_Coding,VirusDirect,NA,Coding,N.Bias,Amino acid bias,Viral genomic features,0.029816934356833906,0.8069786060385686,0.04212228670290404,0.9250005656151968,0.023193330347532206
9,23,VirusDirect_ApU_Coding,VirusDirect_NonBrApU_Coding,VirusDirect,NA,Coding,NonBrApU,Non-bridge dinucleotide bias,Viral genomic features,0.031598362506253,-0.010950252090131986,-0.30199941402519126,0.3185786980949764,-0.40814675511927523
14,9,GenomicDensity_Housekeeping_G.Bias_Coding,GenomicDensity_Remaining_G.Bias_Coding,GenomicDensity,Remaining,Coding,G.Bias,Amino acid bias,Similarity to remaining genes,0.03249662358980983,-0.00974201723132973,0.05516409685683174,0.08854500000861532,-0.03712071627624907
25,27,GenomicDensity_ISG_GGG.Bias_Coding,GenomicDensity_Housekeeping_GGG.Bias_Coding,GenomicDensity,Housekeeping,Coding,GGG.Bias,Codon bias,Similarity to housekeeping genes,0.0336561260851338,0.021153218382190177,-0.032415631988994255,-0.09082239664172222,-0.18545565928892815
23,29,GenomicDensity_ISG_D.Bias_Coding,GenomicDensity_Remaining_D.Bias_Coding,GenomicDensity,Remaining,Coding,D.Bias,Amino acid bias,Similarity to remaining genes,0.033795208361460626,-0.2662598313505866,0.2779090804028087,-0.27039178965429783,0.28569509861928777
8,20,GenomicDensity_Remaining_NonBrGpU_Coding,GenomicDensity_ISG_NonBrGpU_Coding,GenomicDensity,ISG,Coding,NonBrGpU,Non-bridge dinucleotide bias,Similarity to ISGs,0.034114653144003894,0.052398640607907,-0.5351060252321655,0.0452127873927795,-0.5026403410882654
11,3,VirusDirect_TTA.Bias_Coding,VirusDirect_brApG_Coding,VirusDirect,NA,Coding,brApG,Bridge dinucleotide bias,Viral genomic features,0.03424659452457802,0.6326475760392241,0.033885690860391046,0.9250005656151968,0.023193330347532206
22,2,GenomicDensity_Remaining_brUpC_Coding,VirusDirect_V.Bias_Coding,VirusDirect,NA,Coding,V.Bias,Amino acid bias,Viral genomic features,0.03491786993613672,-0.4680669940153371,0.5942670278071546,-0.3140806280615704,0.5489446486673487
30,18,GenomicDensity_ISG_NonBrApG_Coding,VirusDirect_NonBrApG_Coding,VirusDirect,NA,Coding,NonBrApG,Non-bridge dinucleotide bias,Viral genomic features,0.035202214952181544,-0.4620209615190915,-0.19358824514994585,-0.4452354204688484,-0.19724792788560863
28,4,VirusDirect_CCC.Bias_Coding,VirusDirect_G.Bias_Coding,VirusDirect,NA,Coding,G.Bias,Amino acid bias,Viral genomic features,0.035385195974400784,-0.5959348955441642,0.20603616293653618,-0.7386986733944589,0.03461141848358595
4,7,VirusDirect_TCT.Bias_Coding,VirusDirect_F.Bias_Coding,VirusDirect,NA,Coding,F.Bias,Amino acid bias,Viral genomic features,0.03599657782548159,0.5643239298960835,0.29324434604250904,0.5463424499932296,0.20842649416966594
19,28,GenomicDensity_Remaining_H.Bias_Coding,GenomicDensity_ISG_H.Bias_Coding,GenomicDensity,ISG,Coding,H.Bias,Amino acid bias,Similarity to ISGs,0.03606306216513779,0.03532664115912675,-0.11496047799065413,0.03920264397147911,-0.10949044328893554
4,7,VirusDirect_TCT.Bias_Coding,VirusDirect_brUpG_Coding,VirusDirect,NA,Coding,brUpG,Bridge dinucleotide bias,Viral genomic features,0.03628549828402598,0.47527774318436045,0.49810035099020217,0.5463424499932296,0.20842649416966594
2,30,GenomicDensity_Remaining_ATT.Bias_Coding,GenomicDensity_Housekeeping_ATT.Bias_Coding,GenomicDensity,Housekeeping,Coding,ATT.Bias,Codon bias,Similarity to housekeeping genes,0.03677032524894885,0.2791799797240685,0.03549138250728997,0.24340781863853148,0.008073603952204586
23,29,GenomicDensity_ISG_D.Bias_Coding,GenomicDensity_Housekeeping_D.Bias_Coding,GenomicDensity,Housekeeping,Coding,D.Bias,Amino acid bias,Similarity to housekeeping genes,0.036886800316211985,-0.16417556611191958,0.2593347713194149,-0.27039178965429783,0.28569509861928777
8,20,GenomicDensity_Remaining_NonBrGpU_Coding,GenomicDensity_Remaining_NonBrGpU_Coding,GenomicDensity,Remaining,Coding,NonBrGpU,Non-bridge dinucleotide bias,Similarity to remaining genes,0.03705840125544219,0.0452127873927795,-0.5026403410882654,0.0452127873927795,-0.5026403410882654
1,5,GenomicDensity_ISG_NonBrUpC_Coding,GenomicDensity_Housekeeping_NonBrUpC_Coding,GenomicDensity,Housekeeping,Coding,NonBrUpC,Non-bridge dinucleotide bias,Similarity to housekeeping genes,0.03753989683731284,0.09429288343154796,0.07454135495583528,0.05738285799003923,-0.1125445936731798
27,1,GenomicDensity_Housekeeping_CTG.Bias_Coding,GenomicDensity_Housekeeping_NonBrUpG_Coding,GenomicDensity,Housekeeping,Coding,NonBrUpG,Non-bridge dinucleotide bias,Similarity to housekeeping genes,0.03842859994881546,-0.048819154158087706,-0.23542700236921604,-0.6217812981788006,-0.13096960315366163
11,3,VirusDirect_TTA.Bias_Coding,VirusDirect_GAA.Bias_Coding,VirusDirect,NA,Coding,GAA.Bias,Codon bias,Viral genomic features,0.03918321450849132,0.8331569534374798,0.1950915349940923,0.9250005656151968,0.023193330347532206
3,31,GenomicDensity_Remaining_NonBrCpC_Coding,GenomicDensity_Remaining_NonBrCpC_Coding,GenomicDensity,Remaining,Coding,NonBrCpC,Non-bridge dinucleotide bias,Similarity to remaining genes,0.03932487199655315,-0.11255115144388093,0.05444298533212927,-0.11255115144388093,0.05444298533212927
25,27,GenomicDensity_ISG_GGG.Bias_Coding,GenomicDensity_Remaining_GGG.Bias_Coding,GenomicDensity,Remaining,Coding,GGG.Bias,Codon bias,Similarity to remaining genes,0.03995262696929578,-0.13804333233186666,-0.22661654737519746,-0.09082239664172222,-0.18545565928892815
11,3,VirusDirect_TTA.Bias_Coding,VirusDirect_Y.Bias_Coding,VirusDirect,NA,Coding,Y.Bias,Amino acid bias,Viral genomic features,0.040353379001656926,0.7403143252281058,0.3539655968852272,0.9250005656151968,0.023193330347532206
11,3,VirusDirect_TTA.Bias_Coding,VirusDirect_AAA.Bias_Coding,VirusDirect,NA,Coding,AAA.Bias,Codon bias,Viral genomic features,0.041351925797668845,0.7933220995871643,0.10367158977048732,0.9250005656151968,0.023193330347532206
20,26,GenomicDensity_Housekeeping_L.Bias_Coding,GenomicDensity_Housekeeping_L.Bias_Coding,GenomicDensity,Housekeeping,Coding,L.Bias,Amino acid bias,Similarity to housekeeping genes,0.04155166359268408,0.13510139791335324,0.1494602049221933,0.13510139791335324,0.1494602049221933
31,11,GenomicDensity_Remaining_Y.Bias_Coding,GenomicDensity_Housekeeping_Y.Bias_Coding,GenomicDensity,Housekeeping,Coding,Y.Bias,Amino acid bias,Similarity to housekeeping genes,0.041779447045384575,-0.5689851557485233,-0.16296772551745983,-0.5774018264358369,-0.16650464741773868
8,20,GenomicDensity_Remaining_NonBrGpU_Coding,GenomicDensity_Remaining_NonBrGpA_Coding,GenomicDensity,Remaining,Coding,NonBrGpA,Non-bridge dinucleotide bias,Similarity to remaining genes,0.0431281653030353,0.09066186669984334,-0.1749821769873057,0.0452127873927795,-0.5026403410882654
10,15,VirusDirect_GpA_EntireSeq,VirusDirect_GpA_EntireSeq,VirusDirect,NA,EntireSeq,GpA,Dinucleotide bias,Viral genomic features,0.04344164845134238,0.04172711137428887,-0.6755972442999051,0.04172711137428887,-0.6755972442999051
27,1,GenomicDensity_Housekeeping_CTG.Bias_Coding,VirusDirect_NonBrUpG_Coding,VirusDirect,NA,Coding,NonBrUpG,Non-bridge dinucleotide bias,Viral genomic features,0.0442633772132635,-0.5918334502441805,-0.1946158575138025,-0.6217812981788006,-0.13096960315366163
23,29,GenomicDensity_ISG_D.Bias_Coding,GenomicDensity_ISG_D.Bias_Coding,GenomicDensity,ISG,Coding,D.Bias,Amino acid bias,Similarity to ISGs,0.0443742813933836,-0.27039178965429783,0.28569509861928777,-0.27039178965429783,0.28569509861928777
31,11,GenomicDensity_Remaining_Y.Bias_Coding,GenomicDensity_ISG_NonBrGpC_Coding,GenomicDensity,ISG,Coding,NonBrGpC,Non-bridge dinucleotide bias,Similarity to ISGs,0.04663568868893673,-0.2574205792574875,-0.18618292407848638,-0.5774018264358369,-0.16650464741773868
4,7,VirusDirect_TCT.Bias_Coding,VirusDirect_CTT.Bias_Coding,VirusDirect,NA,Coding,CTT.Bias,Codon bias,Viral genomic features,0.04692611136819021,0.1456278377263868,0.5214897868764643,0.5463424499932296,0.20842649416966594
25,27,GenomicDensity_ISG_GGG.Bias_Coding,GenomicDensity_ISG_GGG.Bias_Coding,GenomicDensity,ISG,Coding,GGG.Bias,Codon bias,Similarity to ISGs,0.04695905773860269,-0.09082239664172222,-0.18545565928892815,-0.09082239664172222,-0.18545565928892815
26,21,GenomicDensity_Housekeeping_ACT.Bias_Coding,GenomicDensity_Housekeeping_ACT.Bias_Coding,GenomicDensity,Housekeeping,Coding,ACT.Bias,Codon bias,Similarity to housekeeping genes,0.04698369390330405,-0.2376398118726975,-0.08000508948698004,-0.2376398118726975,-0.08000508948698004
15,17,GenomicDensity_ISG_A.Bias_Coding,GenomicDensity_ISG_A.Bias_Coding,GenomicDensity,ISG,Coding,A.Bias,Amino acid bias,Similarity to ISGs,0.04701181122334114,0.2145096855416466,0.22630612745868903,0.2145096855416466,0.22630612745868903
