UniversalName,Strain,Reservoir,Genbank.accession,WholeGenome,Vector.borne,Vector,OtherTaxonomicInfo,Reference_Reservoir,Reference_Vector
Achimota rubulavirus 1,Achimota virus 1,Pterobat,NC_025403.1,1,0,none,NA,,
Achimota rubulavirus 2,Achimota virus 2,Pterobat,NC_025404.1,1,0,none,NA,,
Adelaide River ephemerovirus,NA,NA,NC_028246.1,1,NA,NA,Automatic match,,
Adeno-associated dependoparvovirus A,Adeno-associated virus-1,Human,NC_002077.1,1,0,NA,Merged,,
Adeno-associated dependoparvovirus B,Adeno-associated virus-5,Human,NC_006152.1,1,0,NA,NA,,
Adeno-associated dependoparvovirus B,Bovine adeno-associated virus,Artiodactyl,NC_005889.1,1,0,NA,NA,,
Aedes flavivirus,Aedes flavivirus,Insect,NC_012932.1,1,0,mosquito,Unclassified,,
African green monkey simian foamy virus,NA,NonHumanPrimate,NC_010820.1,1,0,NA,Automatic match,,
African horse sickness virus,NA,Perissodactyla,NC_006021.1; NC_005996.1; NC_006017.1; NC_006012.1; NC_006020.1; NC_006018.1; NC_006011.1; NC_006019.1; NC_006016.1; NC_006009.1,1,1,midge,Automatic match,,
African swine fever virus,NA,Artiodactyl,NC_001659.2,1,1,tick,Automatic match,,
Aguacate virus,Aguacate virus,Orphan,NC_015451.1; NC_015450.1; NC_015452.1,1,1,sandfly,Unclassified,,
Aichivirus A,Canine kobuvirus 1,Carnivore,KF924623.1,1,0,none,Strain,,
Aichivirus A,Feline kobuvirus,Carnivore,KJ958930.1,1,0,none,Strain,,
Aichivirus A,Aichi virus 1,Human,AY747174.1,1,0,none,Added Nov 2018,﻿Khamrin2014,
Akabane orthobunyavirus,Akabane virus,Artiodactyl,NC_009894.1; NC_009895.1; NC_009896.1,1,1,midge,NA,,
Alagoas vesiculovirus,Vesicular stomatitis Alagoas virus,Artiodactyl,NC_025353.1,1,1,sandfly,NA,,
Alcelaphine gammaherpesvirus 1,NA,Artiodactyl,NC_002531.1,1,0,NA,NA,,
Alcelaphine gammaherpesvirus 2,NA,Artiodactyl,NC_024382.1,1,0,NA,NA,,
Allpahuayo mammarenavirus,Allpahuayo virus,Rodent,NC_010249.1; NC_010253.1,1,0,none,NA,,
Almpiwar sripuvirus,Oak-Vale virus,Orphan,NC_025399.1,1,1,mosquito,Strain,,
Almpiwar sripuvirus,Almpiwar virus,Reptile,NC_025391.1,1,?,unknown,Strain,,
Alphacoronavirus 1,Canine coronavirus,Carnivore,KC175340.1,1,0,none,Strain,,
Alphacoronavirus 1,Feline coronavirus,Carnivore,NC_002306.3,1,0,none,Strain,,
Alphacoronavirus 2,Alphacoronavirus 2,Carnivore,HM245926.1,1,0,none,Unclassified,,
Alphapapillomavirus 1,NA,Human,NC_001586.1,1,0,NA,NA,,
Alphapapillomavirus 10,NA,Human,NC_001355.1,1,0,NA,NA,,
Alphapapillomavirus 11,NA,Human,NC_001587.1,1,0,NA,NA,,
Alphapapillomavirus 12,NA,NonHumanPrimate,NC_001678.1,1,0,NA,NA,,
Alphapapillomavirus 13,NA,Human,NC_001676.1,1,0,NA,NA,,
Alphapapillomavirus 14,NA,Human,NC_004104.1,1,0,NA,Merged,,
Alphapapillomavirus 2,NA,Human,NC_001576.1,1,0,NA,NA,,
Alphapapillomavirus 3,NA,Human,NC_001694.1,1,0,NA,NA,,
Alphapapillomavirus 4,NA,Human,NC_001352.1,1,0,NA,NA,,
Alphapapillomavirus 5,NA,Human,NC_001583.1,1,0,NA,NA,,
Alphapapillomavirus 6,NA,Human,NC_001593.1,1,0,NA,NA,,
Alphapapillomavirus 7,NA,Human,NC_001357.1,1,0,NA,NA,,
Alphapapillomavirus 8,NA,Human,NC_001595.1,1,0,NA,NA,,
Alphapapillomavirus 9,NA,Human,NC_001526.4,1,0,NA,NA,,
Amaparí mammarenavirus,Amapari virus,Rodent,NC_010251.1; NC_010247.1,1,0,none,NA,,
American bat vesiculovirus,American bat vesiculovirus TFFN-2013,Vespbat,NC_022755.1,1,?,unknown,NA,,
Andes orthohantavirus,Andes virus,Rodent,NC_003468.2; NC_003467.2; NC_003466.1,1,0,none,NA,,
Anguillid perhabdovirus,Eel virus European X,Fish,NC_022581.1,1,0,none,NA,,
Anopheles A orthobunyavirus,Anopheles A virus isolate original,NA,KY793537.1; KY793538.1; KY793539.1,1,1,mosquito,Automatic match,,
Anopheles B orthobunyavirus,NA,NA,FJ660417.1,0,1,mosquito,Automatic match,,
Apoi virus,Apoi virus,Rodent,NC_003676.1,1,0,none,NA,,
Aquamavirus A,Seal picornavirus type 1,Carnivore,NC_009891.1,1,0,none,NA,,
Aravan lyssavirus,Aravan virus,Vespbat,NC_020808.1,1,0,none,NA,,
Arboretum almendravirus,Arboretum virus,Orphan,NC_025393.1,1,1,mosquito,NA,,
Arenavirus H0030026,Arenavirus H0030026,Rodent,GQ903697.1,0,0,none,Unclassified,,
Aroa virus,Aroa virus,Rodent,NC_009026.2,1,1,unknown,NA,,
Arumowot virus,Arumowot virus,Rodent,NC_023635.1; NC_023633.1; NC_023634.1,1,1,mosquito,Unclassified,,
Astrovirus Er/SZAL6/HUN/2011,Astrovirus Er/SZAL6/HUN/2011,Orphan,NC_027426.1,1,0,none,Unclassified,,
Astrovirus MLB2,Astrovirus MLB2,Human,NC_016155.1,1,0,none,Unclassified,,
Astrovirus MLB3,Astrovirus MLB3,Human,NC_019028.1,1,0,none,Unclassified,,
Astrovirus VA3,Astrovirus VA3,Human,NC_019026.1,1,0,none,Unclassified,,
Astrovirus VA4,Astrovirus VA4,Human,NC_019027.1,1,0,none,Unclassified,,
Astrovirus wild boar/WBAstV-1/2011/HUN,Astrovirus wild boar/WBAstV-1/2011/HUN,Artiodactyl,NC_016896.1,1,0,none,Unclassified,,
Ateline alphaherpesvirus 1,NA,NonHumanPrimate,NC_034446.1,1,0,NA,NA,,
Ateline gammaherpesvirus 2,NA,NonHumanPrimate,,,0,NA,NA,,
Atlantic salmon calicivirus,Atlantic salmon calicivirus,Fish,NC_024031.1,1,0,none,Unclassified,,
Aura virus,Aura virus,Orphan,NC_003900.1,1,1,mosquito,NA,,
Australian bat lyssavirus,Australian bat lyssavirus,NA,NC_003243.1,1,0,none,NA,,
Avastrovirus 1,Avastrovirus 1,Galliformes,NC_002470.1,1,0,none,NA,,
Avastrovirus 2,Chicken astrovirus,Galliformes,NC_003790.1,1,0,none,NA,,
Avastrovirus 3,Avastrovirus 3,Anseriformes,NC_005790.1,1,0,none,NA,,
Avian avulavirus 1,Newcastle disease virus,Galliformes,NC_039223.1,1,0,none,NA,gogoi2017,
Avian avulavirus 1,Pigeon paramyxovirus 1,Columbiformes,AJ880277.1,1,0,none,NA,gogoi2017,
Avian avulavirus 1,cormorant/US(NV)/19529-04(USGS)/2005,Suliformes,GQ288386.2,1,0,none,NA,cross2013,
Avian avulavirus 10,Avian paramyxovirus penguin,Sphenisciformes,NC_025349.3,1,0,none,NA,gogoi2017,
Avian avulavirus 11,Avian paramyxovirus 11,Orphan,NC_025407.1,1,0,none,NA,gogoi2017,
Avian avulavirus 12,Avian paramyxovirus 12,Orphan,NC_025363.1,1,0,none,NA,gogoi2017,
Avian avulavirus 3,Avian paramyxovirus 3,Galliformes,NC_025373.1,1,0,none,NA,gogoi2017,
Avian avulavirus 4,Avian paramyxovirus 4,Anseriformes,NC_019531.1,1,0,none,NA,gogoi2017,
Avian avulavirus 5,Avian paramyxovirus 5,Psittaciformes,NC_025361.1,1,0,none,NA,gogoi2017,
Avian avulavirus 6,Avian paramyxovirus 6,Anseriformes,NC_039194.1,1,0,none,NA,gogoi2017,
Avian avulavirus 7,Avian paramyxovirus 7,Galliformes,NC_025347.1,1,0,none,NA,gogoi2017,
Avian avulavirus 8,Avian paramyxovirus 8,Anseriformes,NC_039195.1,1,0,none,NA,gogoi2017,
Avian avulavirus 9,Avian paramyxovirus 9,Orphan,NC_025390.1,1,0,none,NA,capua2004,
Avian coronavirus,Infectious bronchitis virus,Galliformes,NC_001451.1,1,0,none,Strain,cavanagh2007,
