"UniversalName","Strain","VectorBorne","Vector","OtherTaxonomicInfo","Reference_Reservoir","Reference_Vector","LatestSppName","HumanOnly","IndirectDetectionOnly","Reference","DataSource","Reservoir","Accessions","WholeGenome","InfectsHumans"
"Achimota rubulavirus 1","Achimota virus 1",0,NA,NA,NA,NA,"Achimota pararubulavirus 1",FALSE,FALSE,"NA","Woolhouse2018; Internal","Pterobat","NC_025403.1",1,FALSE
"Achimota rubulavirus 2","Achimota virus 2",0,NA,NA,NA,NA,"Achimota pararubulavirus 2",FALSE,FALSE,"NA","Woolhouse2018; Internal","Pterobat","NC_025404.1",1,FALSE
"Adelaide River ephemerovirus","Adelaide River ephemerovirus",NA,NA,"Automatic match",NA,NA,"Adelaide River ephemerovirus",FALSE,NA,"","Olival2017; Woolhouse2018",NA,"NC_028246.1",1,FALSE
"Adeno-associated dependoparvovirus A","Adeno-associated virus-1",0,NA,"Merged",NA,NA,"Adeno-associated dependoparvovirus A",TRUE,FALSE,"Xiao et al. 1999; Gao et al. 2003","Olival2017","Human","NC_002077.1",1,TRUE
"Adeno-associated dependoparvovirus B","Adeno-associated virus-5",0,NA,NA,NA,NA,"Adeno-associated dependoparvovirus B",FALSE,FALSE,"Bantel-Schaal & zur Hausen 1984","Olival2017","Human","NC_006152.1",1,TRUE
"African green monkey simian foamy virus","African green monkey simian foamy virus",0,NA,"Automatic match",NA,NA,"Grivet simian foamy virus",FALSE,FALSE,"; 9151878; 10516034","Woolhouse2018","NonHumanPrimate","NC_010820.1",1,TRUE
"African horse sickness virus","African horse sickness virus",1,"Midge","Automatic match",NA,NA,"African horse sickness virus",FALSE,NA,"","Olival2017; Woolhouse2018","Perissodactyla","NC_006021.1; NC_005996.1; NC_006017.1; NC_006012.1; NC_006020.1; NC_006018.1; NC_006011.1; NC_006019.1; NC_006016.1; NC_006009.1",1,FALSE
"African swine fever virus","African swine fever virus",1,"Tick","Automatic match",NA,NA,"African swine fever virus",FALSE,NA,"","Olival2017","Artiodactyl","NC_001659.2",1,FALSE
"Aichivirus A","Aichi virus 1",0,NA,"Added Nov 2018","﻿Khamrin2014",NA,"Aichivirus A",FALSE,FALSE,"NA; 1658159; 25996404; Yamashita et al. 1995","Olival2017","Human","AY747174.1",1,TRUE
"Akabane orthobunyavirus","Akabane virus",1,"Midge",NA,NA,NA,"Akabane orthobunyavirus",FALSE,FALSE,"NA","Olival2017; Woolhouse2018; Internal","Artiodactyl","NC_009894.1; NC_009895.1; NC_009896.1",1,FALSE
