Name_2018b,Name_2019,Notes
Achimota pararubulavirus 1,Achimota pararubulavirus 1,
Achimota pararubulavirus 2,Achimota pararubulavirus 2,
Adelaide River ephemerovirus,Adelaide River ephemerovirus,
Adeno-associated dependoparvovirus A,Adeno-associated dependoparvovirus A,
Adeno-associated dependoparvovirus B,Adeno-associated dependoparvovirus B,
Grivet simian foamy virus,Grivet simian foamy virus,
African horse sickness virus,African horse sickness virus,
African swine fever virus,African swine fever virus,
Aichivirus A,Aichivirus A,
Akabane orthobunyavirus,Akabane orthobunyavirus,
Alagoas vesiculovirus,Alagoas vesiculovirus,
Alcelaphine gammaherpesvirus 1,Alcelaphine gammaherpesvirus 1,
Alcelaphine gammaherpesvirus 2,Alcelaphine gammaherpesvirus 2,
Allpahuayo mammarenavirus,Allpahuayo mammarenavirus,
Almpiwar sripuvirus,Almpiwar sripuvirus,
Alphacoronavirus 1,Alphacoronavirus 1,
Alphapapillomavirus 1,Alphapapillomavirus 1,
Alphapapillomavirus 10,Alphapapillomavirus 10,
Alphapapillomavirus 11,Alphapapillomavirus 11,
Alphapapillomavirus 12,Alphapapillomavirus 12,
Alphapapillomavirus 13,Alphapapillomavirus 13,
Alphapapillomavirus 14,Alphapapillomavirus 14,
Alphapapillomavirus 2,Alphapapillomavirus 2,
Alphapapillomavirus 3,Alphapapillomavirus 3,
Alphapapillomavirus 4,Alphapapillomavirus 4,
Alphapapillomavirus 5,Alphapapillomavirus 5,
Alphapapillomavirus 6,Alphapapillomavirus 6,
Alphapapillomavirus 7,Alphapapillomavirus 7,
Alphapapillomavirus 8,Alphapapillomavirus 8,
Alphapapillomavirus 9,Alphapapillomavirus 9,
Serra do Navio mammarenavirus,Serra do Navio mammarenavirus ,
American bat vesiculovirus,American bat vesiculovirus,
Andes orthohantavirus,Andes orthohantavirus,
Anguillid perhabdovirus,Anguillid perhabdovirus,
Anopheles A orthobunyavirus,Anopheles A orthobunyavirus,
Apoi virus,Apoi virus,
Aquamavirus A,Aquamavirus A,
Aravan lyssavirus,Aravan lyssavirus,
Arboretum almendravirus,Arboretum almendravirus,
Aroa virus,Aroa virus,
Ateline alphaherpesvirus 1,Ateline alphaherpesvirus 1,
Aura virus,Aura virus,
Australian bat lyssavirus,Australian bat lyssavirus,
Avastrovirus 1,Avastrovirus 1,
Avastrovirus 2,Avastrovirus 2,
Avastrovirus 3,Avastrovirus 3,
Avian orthoavulavirus 1,Avian orthoavulavirus 1,
Avian metaavulavirus 10,Avian metaavulavirus 10,
Avian metaavulavirus 11,Avian metaavulavirus 11,
Avian orthoavulavirus 12,Avian orthoavulavirus 12,
Avian paraavulavirus 3,Avian paraavulavirus 3,
Avian paraavulavirus 4,Avian paraavulavirus 4,
Avian metaavulavirus 5,Avian metaavulavirus 5,
Avian metaavulavirus 6,Avian metaavulavirus 6,
Avian metaavulavirus 7,Avian metaavulavirus 7,
Avian metaavulavirus 8,Avian metaavulavirus 8,
Avian orthoavulavirus 9,Avian orthoavulavirus 9,
Avian coronavirus,Avian coronavirus,
Avian metapneumovirus,Avian metapneumovirus,
Avihepatovirus A,Avihepatovirus A,
Avisivirus B,Avisivirus B,
Avisivirus C,Avisivirus C,
Pestivirus I,Pestivirus I,
Baboon orthoreovirus,Baboon orthoreovirus,
Bagaza virus,Bagaza virus,
Banna virus,Banna virus,
Banzi virus,Banzi virus,
Barmah Forest virus,Barmah Forest virus,
Barur ledantevirus,Barur ledantevirus,
