Babayan,Olival,Woolhouse,UniversalName,OtherTaxonomicInfo,Comments,Remove,RemoveComment,SppName_ICTV_MSL2018b
Duck picornavirus GL/12,,,Duck picornavirus GL/12,Unclassified,No match in ICTV taxonomy; Listed as unclassified on NCBI,NA,,Aalivirus A
,Adelaide River virus,,Adelaide River ephemerovirus,Automatic match,,NA,,Adelaide River ephemerovirus
,Adeno-associated virus-1,,Adeno-associated dependoparvovirus A,Merged,Checked for duplication – data differs,NA,,Adeno-associated dependoparvovirus A
,Adeno-associated virus-2,,Adeno-associated dependoparvovirus A,Merged,Checked for duplication – data differs,NA,,Adeno-associated dependoparvovirus A
,Adeno-associated virus-5,,Adeno-associated dependoparvovirus B,,,NA,,Adeno-associated dependoparvovirus B
,African horse sickness virus,,African horse sickness virus,Automatic match,,NA,,African horse sickness virus
,African swine fever virus,,African swine fever virus,Automatic match,,NA,,African swine fever virus
Canine kobuvirus 1,,,Aichivirus A,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Aichivirus A
Feline kobuvirus,,,Aichivirus A,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Aichivirus A
,Aichi virus,Aichivirus A,Aichivirus A,,,NA,,Aichivirus A
Akabane virus,Akabane virus,,Akabane orthobunyavirus,,,NA,,Akabane orthobunyavirus
Vesicular stomatitis Alagoas virus,Vesicular stomatitis Alagoas virus,Alagoas vesiculovirus ,Alagoas vesiculovirus,,,NA,,Alagoas vesiculovirus
,Alcelaphine herpesvirus 1,,Alcelaphine gammaherpesvirus 1,,,NA,,Alcelaphine gammaherpesvirus 1
,Alcelaphine herpesvirus 2,,Alcelaphine gammaherpesvirus 2,,,NA,,Alcelaphine gammaherpesvirus 2
Allpahuayo virus,Allpaahuayo virus,,Allpahuayo mammarenavirus,,,NA,,Allpahuayo mammarenavirus
Oak-Vale virus,,,Almpiwar sripuvirus,Strain,No match in ICTV taxonomy; Listed as a strain on NCBI taxonomy,NA,,Almpiwar sripuvirus
Almpiwar virus,,,Almpiwar sripuvirus,Strain,Checked for duplication – K80 distance from Oak-Vale virus is 0.765,NA,,Almpiwar sripuvirus
,Equine arteritis virus,,Equine arteritis virus,Automatic match,,NA,,Alphaarterivirus equid
,,Alphacoronavirus 1,Alphacoronavirus 1,Automatic match,,NA,,Alphacoronavirus 1
Canine coronavirus,Canine coronavirus,,Alphacoronavirus 1,Strain,Several species merged into this name,NA,,Alphacoronavirus 1
Feline coronavirus,Feline coronavirus,,Alphacoronavirus 1,Strain,Several species merged into this name,NA,,Alphacoronavirus 1
,Transmissible gastroenteritis virus,,Alphacoronavirus 1,Strain,Several species merged into this name,NA,,Alphacoronavirus 1
,Human papillomavirus 32,,Alphapapillomavirus 1,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Alphapapillomavirus 1
,Human papillomavirus 6,,Alphapapillomavirus 10,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Alphapapillomavirus 10
,Human papillomavirus 34,,Alphapapillomavirus 11,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Alphapapillomavirus 11
,Rhesus monkey papillomavirus 1,,Alphapapillomavirus 12,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Alphapapillomavirus 12
,Human papillomavirus 54,,Alphapapillomavirus 13,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Alphapapillomavirus 13
,Human papillomavirus 71,,Alphapapillomavirus 14,Merged,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,TRUE,"Duplicate (data identical to Human papillomavirus cand9, except detected host association only by antibodies)",Alphapapillomavirus 14
,Human papillomavirus cand90,,Alphapapillomavirus 14,Merged,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Alphapapillomavirus 14
,Human papillomavirus 10,,Alphapapillomavirus 2,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Alphapapillomavirus 2
,Human papillomavirus 61,,Alphapapillomavirus 3,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Alphapapillomavirus 3
,Human papillomavirus 2,,Alphapapillomavirus 4,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Alphapapillomavirus 4
,Human papillomavirus 26,,Alphapapillomavirus 5,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Alphapapillomavirus 5
,Human papillomavirus 53,,Alphapapillomavirus 6,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Alphapapillomavirus 6
,Human papillomavirus 18,,Alphapapillomavirus 7,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Alphapapillomavirus 7
,Human papillomavirus 7,,Alphapapillomavirus 8,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Alphapapillomavirus 8
,Human papillomavirus 16,,Alphapapillomavirus 9,,See https://data.ictvonline.org/proposals/2010.001a-kkkV.A.v2.Papillomaviridae.pdf,NA,,Alphapapillomavirus 9
American bat vesiculovirus TFFN-2013,,,American bat vesiculovirus,,No match in ICTV taxonomy; Listed as a strain/isolate on NCBI,NA,,American bat vesiculovirus
Andes virus,Andes virus,Andes orthohantavirus,Andes orthohantavirus,,,NA,,Andes orthohantavirus
Eel virus European X,,,Anguillid perhabdovirus,,No match in ICTV taxonomy; Listed as a strain/isolate on NCBI,NA,,Anguillid perhabdovirus
,Anopheles A virus,,Anopheles A orthobunyavirus,Automatic match,,NA,,Anopheles A orthobunyavirus
,Anopheles B virus,,Anopheles B orthobunyavirus,Automatic match,,NA,,Anopheles B orthobunyavirus
Apoi virus,Apoi virus,,Apoi virus,,,NA,,Apoi virus
Seal picornavirus type 1,,,Aquamavirus A,,No match in ICTV taxonomy; Listed as a strain/isolate on NCBI,NA,,Aquamavirus A
Aravan virus,Aravan virus,,Aravan lyssavirus,,,NA,,Aravan lyssavirus
Arboretum virus,,,Arboretum almendravirus,,,NA,,Arboretum almendravirus
Junin arenavirus,Junin virus,Junín mammarenavirus,Junín mammarenavirus,,,NA,,Argentinian mammarenavirus
Aroa virus,Aroa virus,Aroa virus,Aroa virus,,,NA,,Aroa virus
