UniversalName,Family,Subfamily,Genus,Subgenus
Aedes flavivirus,Flaviviridae,NA,Flavivirus,NA
African green monkey polyomavirus,Polyomaviridae,NA,NA,NA
Aguacate virus,Phenuiviridae,NA,Phlebovirus,NA
Alphacoronavirus 2,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,NA
Araguari virus,Orthomyxoviridae,NA,Thogotovirus,NA
Arenavirus H0030026,Arenaviridae,NA,NA,NA
Arumowot virus,Phenuiviridae,NA,Phlebovirus,NA
Astrovirus Er/SZAL6/HUN/2011,Astroviridae,NA,NA,NA
Astrovirus MLB2,Astroviridae,NA,NA,NA
Astrovirus MLB3,Astroviridae,NA,NA,NA
Astrovirus VA3,Astroviridae,NA,NA,NA
Astrovirus VA4,Astroviridae,NA,NA,NA
Astrovirus wild boar/WBAstV-1/2011/HUN,Astroviridae,NA,Mamastrovirus,NA
Atlantic salmon calicivirus,Caliciviridae,NA,NA,NA
Avisivirus Pf-CHK1/AsV,Picornaviridae,NA,Avisivirus,NA
Bastrovirus BAS-1,Astroviridae,NA,NA,NA
Bastrovirus BAS-2,Astroviridae,NA,NA,NA
Bastrovirus BAS-3,Astroviridae,NA,NA,NA
Bastrovirus-like_virus/VietNam/Bat/17819_21,Astroviridae,NA,NA,NA
Bastrovirus/VietNam/Porcine/17489_85,Astroviridae,NA,NA,NA
Bat coronavirus 1A,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,NA
Bat coronavirus BM48-31/BGR/2008,Coronaviridae,NA,NA,NA
Bat hepatovirus,Picornaviridae,NA,NA,NA
Bat Hp-betacoronavirus/Zhejiang2013,Coronaviridae,Orthocoronavirinae,Betacoronavirus,NA
Bat picornavirus 1,Picornaviridae,NA,NA,NA
Bat picornavirus 2,Picornaviridae,NA,NA,NA
Bat picornavirus 3,Picornaviridae,NA,NA,NA
Bat sapovirus TLC58/HK,Caliciviridae,NA,Sapovirus,NA
Bean necrotic mosaic virus,Peribunyaviridae,NA,Tospovirus,NA
Beilong virus,Paramyxoviridae,NA,NA,NA
Betacoronavirus HKU24,Coronaviridae,Orthocoronavirinae,Betacoronavirus,NA
Bhanja virus,Phenuiviridae,NA,Phlebovirus,NA
Bovine adenovirus E,Adenoviridae,NA,Atadenovirus,NA
Bovine astrovirus,Astroviridae,NA,Mamastrovirus,NA
Bovine astrovirus B170/HK,Astroviridae,NA,Mamastrovirus,NA
Bovine astrovirus B18/HK,Astroviridae,NA,Mamastrovirus,NA
Bovine astrovirus B76/HK,Astroviridae,NA,Mamastrovirus,NA
Bovine astrovirus CH13,Astroviridae,NA,NA,NA
Bovine hepacivirus,Flaviviridae,NA,Hepacivirus,NA
Brazoran virus,Peribunyaviridae,NA,Orthobunyavirus,NA
Burkina Faso astrovirus,Astroviridae,NA,Mamastrovirus,NA
Calicivirus isolate TCG,Caliciviridae,NA,NA,NA
Canine astrovirus,Astroviridae,NA,Mamastrovirus,NA
Canine calicivirus,Caliciviridae,NA,Vesivirus,NA
Canine pneumovirus,Pneumoviridae,NA,NA,NA
Cardamones virus,Arenaviridae,NA,NA,NA
Catarina virus,Arenaviridae,NA,NA,NA
Cell fusing agent virus,Flaviviridae,NA,Flavivirus,NA
Chagres virus,Phenuiviridae,NA,Phlebovirus,NA
Chaoyang virus,Flaviviridae,NA,Flavivirus,NA
Chicken calicivirus,Caliciviridae,NA,NA,NA
Chicken gallivirus 1,Picornaviridae,NA,Gallivirus,NA
Chicken megrivirus,Picornaviridae,NA,Megrivirus,NA
Chicken orivirus 1,Picornaviridae,NA,NA,NA
Chicken picornavirus 1,Picornaviridae,NA,NA,NA
Chicken picornavirus 4,Picornaviridae,NA,NA,NA
Chicken picornavirus 5,Picornaviridae,NA,NA,NA
Chicken proventriculitis virus,Picornaviridae,NA,NA,NA
Chicken sicinivirus JSY,Picornaviridae,NA,Sicinivirus,NA
Culex flavivirus,Flaviviridae,NA,Flavivirus,NA
Culex tritaeniorhynchus rhabdovirus,Rhabdoviridae,NA,NA,NA
Dandenong virus,Arenaviridae,NA,NA,NA
Dolphin rhabdovirus,Rhabdoviridae,NA,NA,NA
Donggang virus,Flaviviridae,NA,Flavivirus,NA
Dromedary astrovirus,Astroviridae,NA,Mamastrovirus,NA
Duck megrivirus,Picornaviridae,NA,Megrivirus,NA
Equine hepacivirus,Flaviviridae,NA,Hepacivirus,NA
Farmington virus,Rhabdoviridae,NA,NA,NA
Feline astrovirus 2,Astroviridae,NA,Mamastrovirus,NA
Feline picornavirus,Picornaviridae,NA,NA,NA
Ferret kobuvirus,Picornaviridae,NA,Kobuvirus,NA
Gallivirus Pf-CHK1/GV,Picornaviridae,NA,Gallivirus,NA
Gan Gan virus,Peribunyaviridae,NA,Orthobunyavirus,NA
Gbagroube virus,Arenaviridae,NA,NA,NA
Goose astrovirus,Astroviridae,NA,Avastrovirus,NA
Goose calicivirus,Caliciviridae,NA,NA,NA
Goose paramyxovirus SF02,Paramyxoviridae,NA,Avulavirus,NA
Guinea pig adenovirus,Adenoviridae,NA,Mastadenovirus,NA
Hamster parvovirus,Parvoviridae,Parvovirinae,Protoparvovirus,NA
Heartland virus,Phenuiviridae,NA,Phlebovirus,NA
Hepatitis GB virus B,Flaviviridae,NA,Hepacivirus,NA
HMO Astrovirus A,Astroviridae,NA,Mamastrovirus,NA
Human norovirus - Alphatron,Caliciviridae,NA,Norovirus,NA
Human torovirus,Tobaniviridae,Torovirinae,Torovirus,NA
Ia io picornavirus 1,Picornaviridae,NA,NA,NA
Isla Vista virus,Hantaviridae,NA,Orthohantavirus,NA
Issyk-Kul virus,Nairoviridae,NA,Orthonairovirus,NA
Itaporanga virus,Phenuiviridae,NA,Phlebovirus,NA
J-virus,Paramyxoviridae,NA,NA,NA
Kama virus,Flaviviridae,NA,Flavivirus,NA
Kamiti River virus,Flaviviridae,NA,Flavivirus,NA
Leopards Hill virus,Nairoviridae,NA,Orthonairovirus,NA
Lesavirus 1,Picornaviridae,NA,NA,NA
Lesavirus 2,Picornaviridae,NA,NA,NA
Lone Star virus,Peribunyaviridae,NA,NA,NA
Long Island tick rhabdovirus,Rhabdoviridae,NA,NA,NA
Lyssavirus Ozernoe,Rhabdoviridae,NA,Lyssavirus,NA
Magpie-robin coronavirus HKU18,Coronaviridae,Orthocoronavirinae,Deltacoronavirus,NA
Malakal virus,Rhabdoviridae,NA,Ephemerovirus,NA
Malsoor virus,Phenuiviridae,NA,Phlebovirus,NA
Maprik virus,Peribunyaviridae,NA,NA,NA
Melon yellow spot virus,Peribunyaviridae,NA,Tospovirus,NA
Menekre virus,Arenaviridae,NA,NA,NA
Mercadeo virus,Flaviviridae,NA,Flavivirus,NA
Mink calicivirus,Caliciviridae,NA,Vesivirus,NA
Mink enteric sapovirus,Caliciviridae,NA,Sapovirus,NA
Morogoro mammarenavirus,Arenaviridae,NA,NA,NA
Mossman virus,Paramyxoviridae,NA,NA,NA
Mouse astrovirus M-52/USA/2008,Astroviridae,NA,NA,NA
Mulberry vein banding virus,Peribunyaviridae,NA,NA,NA
Muleshoe virus,Hantaviridae,NA,Orthohantavirus,NA
Murine astrovirus,Astroviridae,NA,NA,NA
Murrumbidgee virus,Peribunyaviridae,NA,Orthobunyavirus,NA
Nariva virus,Paramyxoviridae,NA,NA,NA
Norway rat hepacivirus 1,Flaviviridae,NA,Hepacivirus,NA
Norway rat hepacivirus 2,Flaviviridae,NA,Hepacivirus,NA
Norway rat pegivirus,Flaviviridae,NA,Pegivirus,NA
Norway rat pestivirus,Flaviviridae,NA,Pestivirus,NA
Pampa virus,Arenaviridae,NA,NA,NA
Paraiso Escondido virus,Flaviviridae,NA,Flavivirus,NA
Parramatta River virus,Flaviviridae,NA,Flavivirus,NA
Persimmon virus A,Rhabdoviridae,NA,Cytorhabdovirus,NA
Pestivirus Giraffe-1,Flaviviridae,NA,Pestivirus,NA
Phacovirus Pf-CHK1/PhV,Picornaviridae,NA,NA,NA
Porcine astrovirus 2,Astroviridae,NA,Mamastrovirus,NA
Porcine astrovirus 3,Astroviridae,NA,Mamastrovirus,NA
Porcine astrovirus 4,Astroviridae,NA,Mamastrovirus,NA
Porcine astrovirus 5,Astroviridae,NA,NA,NA
Qinghai Himalayan marmot astrovirus 1,Astroviridae,NA,Mamastrovirus,NA
Qinghai Himalayan marmot astrovirus 2,Astroviridae,NA,Mamastrovirus,NA
Quang Binh virus,Flaviviridae,NA,Flavivirus,NA
Rabbit astrovirus TN/2208/2010,Astroviridae,NA,Mamastrovirus,NA
Rabbit coronavirus HKU14,Coronaviridae,Orthocoronavirinae,Betacoronavirus,NA
Rabbit kidney vacuolating virus,Polyomaviridae,NA,NA,NA
Rabbit vesivirus,Caliciviridae,NA,Vesivirus,NA
Rat minute virus 1,Parvoviridae,Parvovirinae,Protoparvovirus,NA
Rio Segundo virus,Hantaviridae,NA,Orthohantavirus,NA
Rodent hepacivirus,Flaviviridae,NA,Hepacivirus,NA
Rodent pegivirus,Flaviviridae,NA,Pegivirus,NA
Salem virus,Paramyxoviridae,NA,NA,NA
San Miguel sea lion virus 8,Caliciviridae,NA,Vesivirus,NA
Sandfly fever Sicilian virus,Phenuiviridae,NA,Phlebovirus,NA
Scophthalmus maximus rhabdovirus,Rhabdoviridae,NA,NA,NA
Seal parapoxvirus,Poxviridae,Chordopoxvirinae,Parapoxvirus,NA
Simian virus 12,Polyomaviridae,NA,NA,NA
Siniperca chuatsi rhabdovirus,Rhabdoviridae,NA,NA,NA
Skinner Tank virus,Arenaviridae,NA,NA,NA
Sokoluk virus,Flaviviridae,NA,Flavivirus,NA
Spanish goat encephalitis virus,Flaviviridae,NA,Flavivirus,NA
Sparrow coronavirus HKU17,Coronaviridae,Orthocoronavirinae,Deltacoronavirus,NA
Spodoptera frugiperda rhabdovirus,Rhabdoviridae,NA,NA,NA
Spondweni virus,Flaviviridae,NA,Flavivirus,NA
St-Valerien swine virus,Caliciviridae,NA,NA,NA
Steller sea lion vesivirus,Caliciviridae,NA,Vesivirus,NA
Sunguru virus,Rhabdoviridae,NA,NA,NA
Tailam virus,Paramyxoviridae,NA,NA,NA
Tamana bat virus,Flaviviridae,NA,Flavivirus,NA
Tamdy virus,Nairoviridae,NA,Orthonairovirus,NA
Tataguine virus,Peribunyaviridae,NA,NA,NA
Tomato zonate spot virus,Tospoviridae,NA,NA,NA
Trubanaman virus,Peribunyaviridae,NA,NA,NA
Tulane virus,Caliciviridae,NA,NA,NA
Tupaia hepatovirus A,Picornaviridae,NA,Hepatovirus,NA
Tupaia paramyxovirus,Paramyxoviridae,NA,NA,NA
Turkey calicivirus,Caliciviridae,NA,NA,NA
Upolu virus,Orthomyxoviridae,NA,Thogotovirus,NA
