UniversalName,Strain,LatestSppName,Reservoir_of_this_strain,Genbank.accession,WholeGenome
Achimota rubulavirus 1,Achimota virus 1,Achimota pararubulavirus 1,Pterobat,NC_025403.1,1
Achimota rubulavirus 2,Achimota virus 2,Achimota pararubulavirus 2,Pterobat,NC_025404.1,1
Adelaide River ephemerovirus,NA,Adelaide River ephemerovirus,NA,NC_028246.1,1
Adeno-associated dependoparvovirus A,Adeno-associated virus-1,Adeno-associated dependoparvovirus A,Human,NC_002077.1,1
Adeno-associated dependoparvovirus B,Adeno-associated virus-5,Adeno-associated dependoparvovirus B,Human,NC_006152.1,1
Aedes flavivirus,Aedes flavivirus,Aedes flavivirus,Insect,NC_012932.1,1
African green monkey simian foamy virus,NA,Grivet simian foamy virus,NonHumanPrimate,NC_010820.1,1
African horse sickness virus,NA,African horse sickness virus,Perissodactyla,NC_006021.1; NC_005996.1; NC_006017.1; NC_006012.1; NC_006020.1; NC_006018.1; NC_006011.1; NC_006019.1; NC_006016.1; NC_006009.1,1
African swine fever virus,NA,African swine fever virus,Artiodactyl,NC_001659.2,1
Aguacate virus,Aguacate virus,Aguacate virus,Orphan,NC_015451.1; NC_015450.1; NC_015452.1,1
Aichivirus A,Aichi virus 1,Aichivirus A,Human,AY747174.1,1
Akabane orthobunyavirus,Akabane virus,Akabane orthobunyavirus,Artiodactyl,NC_009894.1; NC_009895.1; NC_009896.1,1
Alagoas vesiculovirus,Vesicular stomatitis Alagoas virus,Alagoas vesiculovirus,Artiodactyl,NC_025353.1,1
Alcelaphine gammaherpesvirus 1,NA,Alcelaphine gammaherpesvirus 1,Artiodactyl,NC_002531.1,1
Alcelaphine gammaherpesvirus 2,NA,Alcelaphine gammaherpesvirus 2,Artiodactyl,NC_024382.1,1
Allpahuayo mammarenavirus,Allpahuayo virus,Allpahuayo mammarenavirus,Rodent,NC_010249.1; NC_010253.1,1
Almpiwar sripuvirus,Almpiwar virus,Almpiwar sripuvirus,Reptile,NC_025391.1,1
Alphacoronavirus 1,Feline coronavirus,Alphacoronavirus 1,Carnivore,NC_002306.3,1
Alphacoronavirus 2,Alphacoronavirus 2,Alphacoronavirus 2,Carnivore,HM245926.1,1
Alphapapillomavirus 1,NA,Alphapapillomavirus 1,Human,NC_001586.1,1
Alphapapillomavirus 10,NA,Alphapapillomavirus 10,Human,NC_001355.1,1
Alphapapillomavirus 11,NA,Alphapapillomavirus 11,Human,NC_001587.1,1
Alphapapillomavirus 12,NA,Alphapapillomavirus 12,NonHumanPrimate,NC_001678.1,1
Alphapapillomavirus 13,NA,Alphapapillomavirus 13,Human,NC_001676.1,1
Alphapapillomavirus 14,NA,Alphapapillomavirus 14,Human,NC_004104.1,1
Alphapapillomavirus 2,NA,Alphapapillomavirus 2,Human,NC_001576.1,1
Alphapapillomavirus 3,NA,Alphapapillomavirus 3,Human,NC_001694.1,1
Alphapapillomavirus 4,NA,Alphapapillomavirus 4,Human,NC_001352.1,1
