Name,calibrated_score_mean,calibrated_score_lower,calibrated_score_upper,bagged_prediction,rank,zoonotic_potential
Wuhan-Hu-1|SARS-CoV-2|Wuhan|MN908947|2019-12,0.337212043492622,0.20987342183233165,0.5701991600345091,TRUE,1,High
RaTG13|Bat-R_affinis|Yunnan|EPI_ISL_402131|2013-07-24,0.32866330274944017,0.2053244523209417,0.5582385137557824,TRUE,2,High
P2V|pangolin|Guangxi|EPI_ISL_410542|2017,0.32450190734812656,0.18027492528633685,0.5361302050177783,TRUE,3,High
P5L|pangolin|Guangxi|EPI_ISL_410540|2017,0.3039357998941499,0.18324781561983633,0.502316814197077,TRUE,4,High
P4L|pangolin|Guangxi|EPI_ISL_410538|2017,0.30278171367853796,0.1900177336704786,0.48389256683622317,TRUE,5,High
P5E|pangolin|Guangxi|EPI_ISL_410541|2017,0.30059123692608924,0.18607986056093095,0.47285635573389295,TRUE,6,High
P1E|pangolin|Guangxi|EPI_ISL_410539|2017,0.299469735559775,0.17677739624626465,0.43971532409532155,TRUE,7,High
SX2013|Bat-R_ferrumequinum|Shanxi|KJ473813|2013-11,0.2758022483514075,0.14083631750143666,0.5670898408621001,FALSE,8,Medium
Jiyuan-84|Bat-R_ferrumequinum|Henan-Jiyuan|KY770860|2012,0.2612687026148582,0.14584767253497183,0.45160781435977393,FALSE,9,Medium
Anlong-112|Bat-R_sinicus|Guizhou-Anlong|KY770859|2013,0.256582595937665,0.12680782779292077,0.4701490011418653,FALSE,10,Medium
HeB2013|Bat-R_ferrumequinum|Hebei|KJ473812|2013-04,0.2535562814705339,0.14144357246965672,0.49020578343473187,FALSE,11,Medium
Anlong-103|Bat-R_sinicus|Guizhou-Anlong|KY770858|2013,0.25310447074307996,0.12656273183471922,0.4483431144846038,FALSE,12,Medium
F46|Bat-R_pusillus|Yunnan|KU973692|2012,0.2454201240864292,0.12485450178200723,0.3806558791252024,FALSE,13,Medium
LYRa11|Bat-R_affinis|Yunnan-Baoshan|KF569996|2011,0.24527844396391502,0.12232576672382928,0.47834724203139034,FALSE,14,Medium
Rp3|Bat-R_pearsoni|Guangxi-Nanning|DQ071615|2004-12,0.24229450801636201,0.12433102126318475,0.45758261393530286,FALSE,15,Medium
GX2013|Bat-R_sinicus|Guangxi|KJ473815|2012-11,0.2399348089721404,0.13557740034423466,0.4243570044902296,FALSE,16,Medium
Yunnan2011|Bat-Chaerephon_plicata|Yunnan|JX993988|2011-11,0.23556489750653853,0.12610779890974538,0.4213152173263598,FALSE,17,Medium
Rs672|Bat-R_sinicus|Guizhou|FJ588686|2006-09,0.23097011006802226,0.12625704546347744,0.3887538989021748,FALSE,18,Medium
YN2018C|Bat-R_affinis|Yunnan-Kunming|MK211377|2016-09,0.22732739365079563,0.1294662684929676,0.40546764473187197,FALSE,19,Medium
YNLF_34C|Bat-R_Ferrumequinum|Yunnan-Lufeng|KP886809|2013-05-23,0.22713038733980098,0.12745786278398585,0.42778424148156535,FALSE,20,Medium
YN2018A|Bat-R_affinis|Yunnan|MK211375|2016-09,0.2240625159207119,0.12376780698788267,0.4068506700301499,FALSE,21,Medium
279_2005|Bat-R_macrotis|Hubei|DQ648857|2004-11,0.22022206794415872,0.11678132956652182,0.38828227209392596,FALSE,22,Medium
YNLF_31C|Bat-R_Ferrumequinum|Yunnan-Lufeng|KP886808|2013-05-23,0.21939133537227265,0.11259751068748275,0.3746727466747849,FALSE,23,Medium
HKU3-5|Bat-R_sinicus|Hong_Kong|GQ153540|2005-09-20,0.2185994064485673,0.11442216832712199,0.43196640243950013,FALSE,24,Medium
Rs4247|Bat-R_sinicus|Yunnan-Kunming|KY417148|2013-04-17,0.21818691537848026,0.11333705255179959,0.36850028376676336,FALSE,25,Medium
RpShaanxi2011|Bat-R_pusillus|Shaanxi|JX993987|2011-09,0.21796482181183618,0.10185608691411226,0.43051294864397893,FALSE,26,Medium
HuB2013|Bat-Bat-R_sinicus|Hubei|KJ473814|2013-04,0.21795511808568332,0.10767962368978376,0.41782076231800575,FALSE,27,Medium
HKU3-10|Bat-R_sinicus|Hong_Kong|GQ153545|2006-10-28,0.21564687565600874,0.11475875833863824,0.42115194688813246,FALSE,28,Medium
HKU3-9|Bat-R_sinicus|Hong_Kong|GQ153544|2006-10-28,0.21534042060385986,0.11475875833863824,0.42115194688813246,FALSE,29,Medium
HKU3-13|Bat-R_sinicus|Hong_Kong|GQ153548|2007-11-15,0.21527169743634797,0.11178936016534317,0.4449916906663565,FALSE,30,Medium
HKU3-11|Bat-R_sinicus|Hong_King|GQ153546|2007-03-07,0.21522694865552192,0.1116598911038769,0.42814530256378847,FALSE,31,Medium
YN2018B|Bat-R_affinis|Yunnan|MK211376|2016-09,0.21480207542331095,0.11920066239352478,0.3636811231276036,FALSE,32,Medium
As6526|Bat-Aselliscus_stoliczkanus|Yunnan-Kunming|KY417142|2014-05-12,0.21394926729781974,0.11424989060654932,0.4029631187034561,FALSE,33,Medium
Rs7327|Bat-R_sinicus|Yunnan--Kunming|KY417151|2014-10-24,0.2138062078134112,0.11561118086480024,0.4129646316858602,FALSE,34,Medium
HKU3-2|Bat-R_sinicus|Hong_Kong|DQ084199|2005-02-24,0.21354033935873928,0.1123514516686536,0.42286425790356874,FALSE,35,Medium
HKU3-12|Bat-R_sinicus|Hong_Kong|GQ153547|2007-05-15,0.21291236085896717,0.1115755621369266,0.4544642920487435,FALSE,36,Medium
Rf4092|Bat-R_ferrumequinum|Yunnan-Kunming|KY417145|2012-09-18,0.21289775104135508,0.10293063277878424,0.3733968822677657,FALSE,37,Medium
HKU3-6|Bat-R_sinicus|Hong_Kong|GQ153541|2005-12-16,0.21274540785268928,0.11191457973819981,0.4263478869989058,FALSE,38,Medium
HKU3-4|Bat-R_sinicus|Hong_Kong|GQ153539|2005-07-20,0.2126776734204369,0.11086287795586061,0.4174534350549881,FALSE,39,Medium
Rs4081|Bat-R_sinicus|Yunnan-Kunming|KY417143|2012-09-18,0.21113261279590992,0.10601504094620907,0.36220772102669874,FALSE,40,Medium
HKU3-1|Bat-R_sinicus|Hong_Kong|DQ022305|2005-02-17,0.21107292372743144,0.11031412661460839,0.3931161470564537,FALSE,41,Medium
HKU3-3|Bat-R_sinicus|Hong_Kong|DQ084200|2005-03-17,0.21107292372743144,0.11031412661460839,0.3931161470564537,FALSE,41,Medium
JL2012|Bat-R_ferrumequinum|Jilin|KJ473811|2012-10,0.20941410613344702,0.10491784443749491,0.39541029550151097,FALSE,43,Medium
Rs4231|Bat-R_sinicus|Yunnan-Kunming|KY417146|2013-04-17,0.20573403324395437,0.10259733521461381,0.34958216370339534,FALSE,44,Medium
Rs4237|Bat-R_sinicus|Yunnan-Kunming|KY417147|2013-04-17,0.20562281334950203,0.12118582387325853,0.34267782532742186,FALSE,45,Medium
Longquan_140|Bat-R_monoceros|China|KF294457|2012,0.2004164872005084,0.09595981893392061,0.3740626046526806,FALSE,46,Medium
Rs9401|Bat-R_sinicus|Yunnan-Kunming|KY417152|2015-10-16,0.2003701779620443,0.11001174663156679,0.35871318033098376,FALSE,47,Medium
Rs4084|Bat-R_sinicus|Yunnan-Kunming|KY417144|2012-09-18,0.19950086878583534,0.09788136888594226,0.3535969240226143,FALSE,48,Medium
HSZ-Cc|SARS-CoV-1|Guangzhou|AY394995|2002,0.19809049328873482,0.11095440126008999,0.32038670157113747,FALSE,49,Medium
YN2018D|Bat-R_affinis|Yunnan|MK211378|2016-09,0.1973259952483751,0.11696969148912262,0.3649588907094833,FALSE,50,Medium
Rs4874|Bat-R_sinicus|Yunnan-Kunming|KY417150|2013-07-21,0.19638171307457838,0.10011817920833635,0.3732824217820986,FALSE,51,Medium
HKU3-7|Bat-R_sinicus|Guangdong|GQ153542|2006-02-15,0.19620327331207926,0.10578990393480867,0.37097750874934476,FALSE,52,Medium
YN2013|Bat-R_sinicus|Yunnan|KJ473816|2010-12,0.19324454458333584,0.08958333203075501,0.3632207805877424,FALSE,54,Medium
Rm1|Bat-R_macrotis|Hubei|DQ412043|2004-11,0.1909716558089715,0.08710195788929374,0.35867042209819067,FALSE,55,Medium
Rs4255|Bat-R_sinicus|Yunnan-Kunming|KY417149|2013-04-17,0.19036588485900138,0.09388299345002933,0.32944087270363054,FALSE,56,Medium
WIV16|Bat-R_sinicus|Yunnan-Kunming|KT444582|2013-07-21,0.1892293691177333,0.0927874572679449,0.33295368639208656,FALSE,57,Medium
JTMC15|Bat-R_ferrumequinum|Jilin|KU182964|2013-10,0.1890732518673782,0.08836582345011365,0.33296490119678834,FALSE,58,Medium
HKU3-8|Bat-R_sinicus|Guangdong|GQ153543|2006-02-15,0.18507549152735045,0.09974910535681387,0.3307125654165719,FALSE,59,Medium
RsSHC014|Bat-R_sinicus|Yunnan-Kunming|KC881005|2011-04-17,0.17496566356470766,0.08239594860459482,0.3025456717306534,FALSE,60,Medium
Rs3367|Bat-R_sinicus|Yunnan-Kunming|KC881006|2012-03-19,0.1703146207542619,0.08465798243501813,0.28189462819814287,FALSE,61,Low
WIV1|Bat-R_sinicus|Yunnan-Kunming|KF367457|2012-09,0.16729195610976136,0.0832997840492696,0.290917542279424,FALSE,62,Low
